,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
0,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,120000,23.1,5.0,White,Bangalore,4 Lakh,4.0
1,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,8.11,Comprehensive,32706,17.0,5.0,White,Bangalore,8.11 Lakh,8.11
2,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2018,5.85,Comprehensive,11949,23.84,5.0,Red,Bangalore,5.85 Lakh,5.85
3,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,4.62,Comprehensive,17794,19.1,5.0,Others,Bangalore,4.62 Lakh,4.62
4,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,7.9,Third Party insurance,60000,23.65,5.0,Gray,Bangalore,7.90 Lakh,7.9
5,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,19.0,Third Party insurance,20000,17.1,5.0,Others,Bangalore,19 Lakh,19.0
6,Petrol,Hatchback,Manual,1,Datsun,Datsun GO,2017,3.45,Comprehensive,37772,20.63,5.0,Grey,Bangalore,3.45 Lakh,3.45
7,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,12.0,Third Party insurance,30000,18.15,5.0,Others,Bangalore,12 Lakh,12.0
8,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,9.6,Comprehensive,37000,20.28,5.0,Maroon,Bangalore,9.60 Lakh,9.6
9,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2017,5.85,Comprehensive,11949,23.84,5.0,Red,Bangalore,5.85 Lakh,5.85
10,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,6.9,Third Party insurance,50000,21.4,5.0,Red,Bangalore,6.90 Lakh,6.9
11,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,6.82,Third Party insurance,24887,18.9,5.0,Orange,Bangalore,6.82 Lakh,6.82
12,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,8.25,Comprehensive,23000,18.2,5.0,Grey,Bangalore,8.25 Lakh,8.25
13,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2018,5.95,Comprehensive,48928,23.84,5.0,Red,Bangalore,5.95 Lakh,5.95
14,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,6.9,Comprehensive,108862,15.1,7.0,Silver,Bangalore,6.90 Lakh,6.9
15,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,13.5,Third Party insurance,80000,17.1,5.0,Others,Bangalore,13.50 Lakh,13.5
16,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,Comprehensive,16000,19.24556842105263,5.0,Blue,Bangalore,55.95 Lakh,55.95
17,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,5.21,Comprehensive,65376,21.27,5.0,Blue,Bangalore,5.21 Lakh,5.21
18,Petrol,SUV,Manual,1,Tata,Tata Nexon,2022,10.05,Third Party insurance,10000,17.33,5.0,Others,Bangalore,10.05 Lakh,10.05
19,Petrol,Sedan,Manual,2,Honda,Honda City,2016,7.75,Comprehensive,67000,17.8,5.0,Brown,Bangalore,7.75 Lakh,7.75
20,Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,22.0,Third Party insurance,100000,18.48,5.0,White,Bangalore,22 Lakh,22.0
21,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,5.82,Comprehensive,18083,22.38,5.0,Silver,Bangalore,5.82 Lakh,5.82
22,Petrol,SUV,Manual,1,Renault,Renault Duster,2020,10.9,Third Party insurance,30000,16.42,5.0,Others,Bangalore,10.90 Lakh,10.9
23,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,4.57,Comprehensive,57634,23.84,5.0,Silver,Bangalore,4.57 Lakh,4.57
24,Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,Third Party insurance,50000,7.81,5.0,Others,Bangalore,49 Lakh,49.0
25,Petrol,Sedan,Manual,1,Honda,Honda City,2015,5.5,Third Party insurance,110000,17.4,5.0,Others,Bangalore,5.50 Lakh,5.5
26,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,5.7,Comprehensive,23447,20.3,5.0,Yellow,Bangalore,5.70 Lakh,5.7
27,Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,2.2,Third Party insurance,30000,13.45,5.0,Others,Bangalore,2.20 Lakh,2.2
28,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,Comprehensive,33000,15.0,5.0,White,Bangalore,41.45 Lakh,41.45
29,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.61,Third Party,87667,15.1,7.0,Black,Bangalore,8.61 Lakh,8.61
30,Diesel,Sedan,Automatic,2,Audi,Audi A4,2016,17.85,Third Party insurance,40000,17.11,5.0,Others,Bangalore,17.85 Lakh,17.85
31,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.03,Comprehensive,79012,15.1,7.0,Silver,Bangalore,8.03 Lakh,8.03
32,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2021,25.65,Comprehensive,31344,17.1,5.0,Black,Bangalore,25.65 Lakh,25.65
33,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,6.74,Third Party insurance,50000,20.14,5.0,Others,Bangalore,6.74 Lakh,6.74
34,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,3.49,Comprehensive,12434,20.51,5.0,Brown,Bangalore,3.49 Lakh,3.49
