it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Petrol,Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti,Maruti Celerio,2015,₹ 4 Lakh,Third Party insurance,"1,20,000 Kms",23.1 kmpl,998 CC,5.0,White,5 Speed ,FWD,Bangalore
0,Petrol,SUV,"32,706",Manual,2,2nd Owner,Ford,Ford Ecosport,2018,₹ 8.11 Lakh,Comprehensive,"32,706 Kms",17 kmpl,1497 CC,5.0,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2018,₹ 5.85 Lakh,Comprehensive,"11,949 Kms",23.84 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Sedan,"17,794",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2014,₹ 4.62 Lakh,Comprehensive,"17,794 Kms",19.1 kmpl,1197 CC,5.0,Others,5 Speed ,FWD ,Bangalore
0,Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti,Maruti SX4 S Cross,2015,₹ 7.90 Lakh,Third Party insurance,"60,000 Kms",23.65 kmpl,1248 CC,5.0,Gray,5 Speed,FWD,Bangalore
0,Diesel,SUV,"20,000",Manual,1,1st Owner,Jeep,Jeep Compass,2020,₹ 19 Lakh,Third Party insurance,"20,000 Kms",17.1 kmpl,1956 CC,5.0,Others,6 Speed,4X2,Bangalore
0,Petrol,Hatchback,"37,772",Manual,1,1st Owner,Datsun,Datsun GO,2017,₹ 3.45 Lakh,Comprehensive,"37,772 Kms",20.63 kmpl,1198 CC,5.0,Grey,5 Speed,FWD,Bangalore
0,Petrol,SUV,"30,000",Automatic,1,1st Owner,Hyundai,Hyundai Venue,2021,₹ 12 Lakh,Third Party insurance,"30,000 Kms",18.15 kmpl,998 CC,5.0,Others,7-Speed,FWD,Bangalore
0,Petrol,Sedan,"37,000",Automatic,1,1st Owner,Maruti,Maruti Ciaz,2018,₹ 9.60 Lakh,Comprehensive,"37,000 Kms",20.28 kmpl,1462 CC,5.0,Maroon,4 Speed,FWD,Bangalore
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata,Tata Tiago,2017,₹ 5.85 Lakh,Comprehensive,"11,949 Kms",23.84 kmpl,1199 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2018,₹ 6.90 Lakh,Third Party insurance,"50,000 Kms",21.4 kmpl,1197 CC,5.0,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"24,887",Automatic,1,1st Owner,Hyundai,Hyundai Grand i10,2019,₹ 6.82 Lakh,Third Party insurance,"24,887 Kms",18.9 kmpl,1197 CC,5.0,Orange,4 Speed,FWD,Bangalore
0,Petrol,Hatchback,"23,000",Automatic,1,1st Owner,Honda,Honda Jazz,2018,₹ 8.25 Lakh,Comprehensive,"23,000 Kms",18.2 kmpl,1199 CC,5.0,Grey,5 Speed,FWD,Bangalore
