it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Year of Manufacture,RTO,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Value Configuration,Super Charger,BoreX Stroke,Compression Ratio,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Front Tread,Rear Tread,Ground Clearance Unladen,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Turning Radius,Top Speed,Acceleration,City
0,Diesel,SUV,"10,000",Automatic,1,1st Owner,Kia,Kia Seltos,2022,7121,GTX Plus Diesel AT,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Diesel,5 Seats,"10,000 Kms",First Owner,1493 cc,Automatic,2022,,18 kmpl,1493 CC,113.43bhp,250Nm,17,5,Gray,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,CRDi,Yes,,,,,4315mm,1800mm,1645mm,2610mm,1540,,,,,,,,,,,,,,,,,6-Speed,FWD,5,Electric,Disc,Disc,"Tubeless, Radial",17,5,433,,,,Delhi
0,Petrol,SUV,"57,437",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2016,1449,1.6 VTVT S,₹ 7.62 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2016,Zero Dep,Petrol,5 Seats,"57,437 Kms",Second Owner,1591 cc,Manual,2016,HR51,15.29 kmpl,1591 CC,121.3bhp,151Nm,,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,DOHC,No,,,4270mm,1780mm,1630mm,2590mm,"1,310",,,,,,,,,,,,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,400-litres,5.3 metres,165 Kmph,10.5 Seconds,Delhi
0,Petrol,SUV,"8,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 56 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Dec 2020,Comprehensive,Petrol,5 Seats,"8,000 Kms",First Owner,1991 cc,Automatic,2020,DL01,12.74 kmpl,1991 CC,197bhp,320nm,19,5,Grey,M 264 petrol engine,1991,197bhp@5500-6100rpm,320nm@1650-4000rpm,4.0,4.0,EFI,No,,,,,4658mm,1890mm,1644mm,2873mm,1585,2360kg,,,,,,,,,,,,,,,,9 speed Tronic,AWD,5,Power,Disc,Disc,"Tubeless,Radial",19,5,550-litres,,217 Kmph,,Delhi
0,Petrol,Hatchback,"28,151",Manual,2,2nd Owner,Maruti,Maruti Swift,2018,10403,VXI,₹ 5.23 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2019,Comprehensive,Petrol,5 Seats,"28,151 Kms",Second Owner,1197 cc,Manual,2018,DL4C,22.38 kmpl,1197 CC,88.50bhp,113Nm,,5,Silver,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3845mm,1735,1530,2450,875-905,1335,1530,1530,,,,,,,,,,,,,,5-Speed,,5,Electric,Disc,Drum,"Radial, Tubeless",,5,268,4.8,,,Delhi
0,Petrol,SUV,"60,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,₹ 7.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2017,Third Party insurance,Petrol,5 Seats,"60,000 Kms",First Owner,1591 cc,Manual,2017,DL8C,15.29 kmpl,1591 CC,121.3bhp,151Nm,,5,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,DOHC,No,,,4270mm,1780mm,1630mm,2590mm,"1,300",,,,,,,,,,,,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,400-litres,5.3 metres,165 Kmph,10.5 Seconds,Delhi
0,Petrol,SUV,"20,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8000,HTK Plus BSVI,₹ 8.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2021,Comprehensive,Petrol,5 Seats,"20,000 Kms",First Owner,1197 cc,Manual,2021,DL9X,18.4 kmpl,1197 CC,81.86bhp,115Nm,,5,White,SMARTSTREAM G1.2,1197,81.86bhp@6000rpm,115Nm@4200rpm,4.0,4.0,MPI,No,,,,,3995mm,1790,1642,2500,1192,,,,,,,,,,,,,,,,,5-Speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",,5,392,,,,Delhi
0,Cng,Sedan,"42,682",Manual,1,1st Owner,Hyundai,Hyundai Aura,2021,7333,S CNG,₹ 7.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2022,Third Party,CNG,5 Seats,"42,682 Kms",First Owner,1197 cc,Manual,2021,UP14,28 km/kg,1197 CC,68.05bhp,95.2nm,,5,White,1.2 l Bi-fuel,1197,68.05bhp@6000rpm,95.2nm@4000rpm,4.0,4.0,,No,,,,,3995mm,1680,1520,2450,1090,,,,,,,,,,,,,,,,,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",,4,,,,,Delhi
0,Petrol,Hatchback,"44,653",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2017,1945,1.2 MPI Trendline,₹ 4 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2017,Comprehensive,Petrol,5 Seats,"44,653 Kms",First Owner,1198 cc,Manual,2017,DL10,18.78 kmpl,1198 CC,74bhp,110Nm,,5,Grey,MPI Petrol Engine,1198,74bhp@5400rpm,110Nm@3000-4300rpm,3.0,4.0,MPFI,No,DOHC,No,74.5 x 76.4,10.5:1,3971mm,1682mm,1469mm,2469mm,1015Kg,1500Kg,1460mm,1456mm,,,,,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,5,280-liters,4.97 metres,165 kmph,14.2 Seconds,Delhi
0,Cng,Hatchback,"7,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,10098,Magna CNG,₹ 7.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2022,Comprehensive,CNG,5 Seats,"7,000 Kms",First Owner,1197 cc,Manual,2022,DL3C,,1197 CC,67.72bhp,95.2Nm,,5,White,1.2 Bi-Fuel,1197,67.72bhp@6000rpm,95.2Nm@4000rpm,4.0,4.0,,,,,,,3815mm,1680mm,1520mm,2450mm,940,,,,,,,,,,,,,,,,,5-Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",,4,,,,,Delhi
0,Petrol,Hatchback,"67,823",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,6776,Alpha,₹ 6.63 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Third Party insurance,Petrol,5 Seats,"67,823 Kms",First Owner,1197 cc,Manual,2019,UP16,21.01 kmpl,1197 CC,81.80bhp,113Nm,R16,5,White,1.2L VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,MPFI,No,DOHC,No,,,3995mm,1745mm,1510mm,2520mm,865-890,1340kg,1505mm,1515mm,,,,,,,,,,,,,,5 Speed,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",R16,5,339-litres,4.9,,12.36 seconds,Delhi
0,Petrol,Hatchback,"50,000",Automatic,1,1st Owner,Honda,Honda Brio,2014,1193,VX AT,₹ 3.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2014,Comprehensive,Petrol,5 Seats,"50,000 Kms",First Owner,1198 cc,Automatic,2014,DL04,16.5 kmpl,1198 CC,86.8bhp,109Nm,14,5,Silver,i-VTEC Engine,1198,86.8bhp@6000rpm,109Nm@4500rpm,4.0,4.0,PGM - Fi,No,SOHC,No,,,3610mm,1680mm,1500mm,2345mm,970kg,,1480mm,1465mm,,,,,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",14,5,175-litres,4.7 metres,185 Kmph,16 Seconds,Delhi
